ts,symbol,tech_action,tech_reason,ai_action,ai_reason,ai_lot,ai_sl_pips,ai_tp_pips,capital
2026-03-13 12:00:00+00:00,USDJPY,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 59%L/41%S, H4+H1 unanimes BUY. N4 OK: Envolvente_Alcista. → BUY | SL=15p TP=30p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK (neutro) — sentimiento 59%L/41%S, H4+H1 unanimes BUY. Nivel 4 OK — Envolvente_Alcista.",0.01,8.0,16.0,50.0
2026-03-16 09:45:00+00:00,GBPUSD,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK — 64% retail long (masa atrapada comprando, confirma SELL). N4 OK: Envolvente_Bajista. → SELL | SL=15p TP=30p",SELL,"N1 OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK — 64% retail long (masa atrapada comprando, confirma SELL). N4 OK: Envolvente_Bajista.",0.01,8.0,16.0,47.4
2026-03-24 11:45:00+00:00,EURUSD,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 57%L/43%S, H4+H1 unanimes BUY. N4 OK: PinBar_Alcista. → BUY | SL=8p TP=16p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK (neutro) — sentimiento 57%L/43%S, H4+H1 unanimes BUY. Nivel 4 OK — PinBar_Alcista.",0.01,8.0,16.0,45.0
2026-03-26 15:45:00+00:00,USDJPY,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 46%L/54%S, H4+H1 unanimes BUY. N4 OK: PinBar_Alcista. → BUY | SL=15p TP=30p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK (neutro) — sentimiento 46%L/54%S, H4+H1 unanimes BUY. Nivel 4 OK — PinBar alcista.",0.01,8.0,16.0,42.6
2026-03-27 15:45:00+00:00,USDJPY,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK — 70% retail short (masa atrapada vendiendo, confirma BUY). N4 OK: Envolvente_Alcista. → BUY | SL=15p TP=30p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK — 70% retail short (masa atrapada vendiendo, confirma BUY). Nivel 4 OK — Envolvente Alcista.",0.01,8.0,16.0,46.760000000000005
2026-04-03 13:15:00+00:00,GBPUSD,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK (neutro) — sentimiento 52%L/48%S, H4+H1 unanimes SELL. N4 OK: Envolvente_Bajista. → SELL | SL=15p TP=30p",SELL,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=SELL H1=SELL → bias=SELL. Nivel 3 OK (neutro) — sentimiento 52%L/48%S, H4+H1 unanimes SELL. Nivel 4 OK — Envolvente_Bajista.",0.01,8.0,16.0,44.68000000000001
2026-04-06 10:45:00+00:00,EURUSD,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 49%L/51%S, H4+H1 unanimes BUY. N4 OK: PinBar_Alcista. → BUY | SL=8p TP=16p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK (neutro) — sentimiento 49%L/51%S, H4+H1 unanimes BUY. Nivel 4 OK — PinBar_Alcista.",0.01,8.0,16.0,49.480000000000004
2026-04-13 12:45:00+00:00,USDJPY,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 49%L/51%S, H4+H1 unanimes BUY. N4 OK: PinBar_Alcista. → BUY | SL=15p TP=30p",HOLD,Técnico OK pero sentimiento neutro (49%L/51%S) — HOLD por riesgo marginal.,,,,54.28
2026-04-14 08:45:00+00:00,GBPUSD,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 54%L/46%S, H4+H1 unanimes BUY. N4 OK: PinBar_Alcista. → BUY | SL=15p TP=30p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK (neutro) — sentimiento 54%L/46%S, H4+H1 unanimes BUY. Nivel 4 OK — PinBar alcista.",0.01,8.0,16.0,54.28
2026-04-14 12:45:00+00:00,USDJPY,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK (neutro) — sentimiento 45%L/55%S, H4+H1 unanimes SELL. N4 OK: Envolvente_Bajista. → SELL | SL=15p TP=30p",SELL,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=SELL H1=SELL → bias=SELL. Nivel 3 OK (neutro) — sentimiento 45%L/55%S, H4+H1 unanimes SELL. Nivel 4 OK — Envolvente_Bajista.",0.01,8.0,16.0,59.08
2026-04-15 08:45:00+00:00,GBPUSD,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 48%L/52%S, H4+H1 unanimes BUY. N4 OK: Envolvente_Alcista. → BUY | SL=15p TP=30p",HOLD,Técnico OK pero sentimiento neutro (48%L/52%S) sin que H4 y H1 sean ambos perfectamente alineados con bias fuerte — HOLD por confluencia débil.,,,,55.96
2026-04-15 08:45:00+00:00,USDJPY,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK (neutro) — sentimiento 42%L/58%S, H4+H1 unanimes SELL. N4 OK: PinBar_Bajista. → SELL | SL=15p TP=30p",SELL,"N1 OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK (neutro) — sentimiento 42%L/58%S, H4+H1 unanimes SELL. N4 OK — PinBar_Bajista.",0.01,8.0,16.0,55.96
2026-04-15 12:45:00+00:00,GBPUSD,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 47%L/53%S, H4+H1 unanimes BUY. N4 OK: Envolvente_Alcista. → BUY | SL=15p TP=30p",BUY,"Nivel 1 OK — sin eventos HIGH. Nivel 2 OK — H4=BUY H1=BUY → bias=BUY. Nivel 3 OK (neutro) — sentimiento 47%L/53%S, H4+H1 unanimes BUY. Nivel 4 OK — Envolvente_Alcista.",0.01,8.0,16.0,53.36
2026-04-22 09:30:00+00:00,EURUSD,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK — 71% retail long (masa atrapada comprando, confirma SELL). N4 OK: PinBar_Bajista. → SELL | SL=8p TP=16p",SELL,"N1 OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK — 71% retail long (masa atrapada comprando, confirma SELL). N4 OK: PinBar_Bajista.",0.01,8.0,16.0,58.16
2026-04-28 11:00:00+00:00,GBPUSD,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK — 68% retail long (masa atrapada comprando, confirma SELL). N4 OK: PinBar_Bajista. → SELL | SL=15p TP=30p",SELL,"N1 OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK — 68% retail long (masa atrapada comprando, confirma SELL). N4 OK: PinBar_Bajista.",0.01,8.0,16.0,64.56
2026-04-29 15:00:00+00:00,USDJPY,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 50%L/50%S, H4+H1 unanimes BUY. N4 OK: Envolvente_Alcista. → BUY | SL=15p TP=30p",HOLD,Técnico OK pero sentimiento neutro (50%L/50%S) — HOLD por riesgo elevado.,,,,70.96000000000001
2026-05-07 14:00:00+00:00,GBPUSD,BUY,"OK — sin eventos HIGH. N2 OK — H4=BUY H1=BUY → bias=BUY. N3 OK (neutro) — sentimiento 58%L/42%S, H4+H1 unanimes BUY. N4 OK: PinBar_Alcista. → BUY | SL=15p TP=30p",HOLD,Técnico OK pero sentimiento neutro (58%L/42%S) sin que H4 y H1 sean ambos perfectamente alineados con bias fuerte — HOLD por confluencia débil.,,,,70.96000000000001
2026-05-07 14:00:00+00:00,USDJPY,SELL,"OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK (neutro) — sentimiento 57%L/43%S, H4+H1 unanimes SELL. N4 OK: PinBar_Bajista. → SELL | SL=15p TP=30p",SELL,"N1 OK — sin eventos HIGH. N2 OK — H4=SELL H1=SELL → bias=SELL. N3 OK (neutro) — sentimiento 57%L/43%S, H4+H1 unanimes SELL. N4 OK — PinBar_Bajista.",0.01,8.0,16.0,70.96000000000001
